baseline,mode,inpaint_keep,mse_mean,mae_mean,ssim_mean,convex_viol_mean,calendar_viol_mean,n_test
bicubic,recon,1.0,5.382679906647406e-33,6.322937492654617e-19,0.058917419980219585,1465.2422907488988,346.06607929515417,227
bicubic,inpaint,0.3,0.0004855282801699895,0.0084062639006164,0.0584461425900675,1297.511013215859,372.7621145374449,227
pca_r8,recon,1.0,0.023631787347808755,0.1060829787443698,0.14930623677497368,1792.7312775330397,1879.9735682819382,227
pca_r8,inpaint,0.3,0.0027131815119703943,0.039387806709623975,-0.023935917582031795,1784.136563876652,1801.374449339207,227
pca_r16,recon,1.0,0.023701087206745634,0.10297461121939315,0.2058888472377651,1865.5814977973569,1940.3436123348017,227
pca_r16,inpaint,0.3,0.001843958547633736,0.0323398487305646,-0.03274222818070877,1801.8678414096917,1831.6740088105728,227
pca_r32,recon,1.0,0.019062324619977637,0.09811952863276587,0.2455907277986359,1869.9118942731277,1985.6299559471365,227
pca_r32,inpaint,0.3,0.0015312071181638927,0.028281233111261916,-0.03616627508631968,1823.955947136564,1872.2246696035243,227
pca_r64,recon,1.0,0.017678239761367103,0.09814959445026086,0.2933162648918274,1887.7533039647576,2006.9515418502203,227
pca_r64,inpaint,0.3,0.0016347838002014493,0.026397672428288138,-0.0323269539231155,1848.863436123348,1889.5066079295154,227
soft_impute,recon,1.0,0.001265944873605951,0.02574968779370754,0.8436349390468907,599.6784140969163,964.136563876652,227
soft_impute,inpaint,0.3,0.012607695020050349,0.08404462251117235,0.76102464507506,680.1101321585903,954.9955947136564,227
