date,obs_fraction
2019-01-02,0.155273
2019-01-03,0.157715
2019-01-04,0.161133
2019-01-07,0.160400
2019-01-08,0.157959
2019-01-09,0.159912
2019-01-10,0.164307
2019-01-11,0.165283
2019-01-14,0.159668
2019-01-15,0.157227
2019-01-16,0.156494
2019-01-17,0.170166
2019-01-18,0.169678
2019-01-22,0.160400
2019-01-23,0.165039
2019-01-24,0.169189
2019-01-25,0.168945
2019-01-28,0.168213
2019-01-29,0.161865
2019-01-30,0.158203
2019-01-31,0.165039
2019-02-01,0.161621
2019-02-04,0.158691
2019-02-05,0.159912
2019-02-06,0.144775
2019-02-07,0.163086
2019-02-08,0.160400
2019-02-11,0.156006
2019-02-12,0.150879
2019-02-13,0.147217
2019-02-14,0.149658
2019-02-15,0.143066
2019-02-19,0.143066
2019-02-20,0.135010
2019-02-21,0.143799
2019-02-22,0.145996
2019-02-25,0.145264
2019-02-26,0.131836
2019-02-27,0.131592
2019-02-28,0.133545
2019-03-01,0.144531
2019-03-04,0.154297
2019-03-05,0.149902
2019-03-06,0.147949
2019-03-07,0.154297
2019-03-08,0.155029
2019-03-11,0.146729
2019-03-12,0.145996
2019-03-13,0.143555
2019-03-14,0.145020
2019-03-15,0.142578
2019-03-18,0.131104
2019-03-19,0.136963
2019-03-20,0.133545
2019-03-21,0.142578
2019-03-22,0.156250
2019-03-25,0.146484
2019-03-26,0.145996
2019-03-27,0.147217
2019-03-28,0.152832
2019-03-29,0.154053
2019-04-01,0.169189
2019-04-02,0.163086
2019-04-03,0.158691
2019-04-04,0.170166
2019-04-05,0.166504
2019-04-08,0.166260
2019-04-09,0.162109
2019-04-10,0.160889
2019-04-11,0.166992
2019-04-12,0.152832
2019-04-15,0.153564
2019-04-16,0.149414
2019-04-17,0.155762
2019-04-18,0.151123
2019-04-22,0.154541
2019-04-23,0.149414
2019-04-24,0.147705
2019-04-25,0.146484
2019-04-26,0.153076
2019-04-29,0.143066
2019-04-30,0.144287
2019-05-01,0.145752
2019-05-02,0.150391
2019-05-03,0.152344
2019-05-06,0.151611
2019-05-07,0.149414
2019-05-08,0.147461
2019-05-09,0.145508
2019-05-10,0.141113
2019-05-13,0.147461
2019-05-14,0.136963
2019-05-15,0.133057
2019-05-16,0.143555
2019-05-17,0.141602
2019-05-20,0.135010
2019-05-21,0.135742
2019-05-22,0.130615
2019-05-23,0.143066
2019-05-24,0.133301
2019-05-28,0.138428
2019-05-29,0.133545
2019-05-30,0.144043
2019-05-31,0.145752
2019-06-03,0.143799
2019-06-04,0.139648
2019-06-05,0.134521
2019-06-06,0.138672
2019-06-07,0.140869
2019-06-10,0.137939
2019-06-11,0.132080
2019-06-12,0.134766
2019-06-13,0.138184
2019-06-14,0.136719
2019-06-17,0.125244
2019-06-18,0.125000
2019-06-19,0.126465
2019-06-20,0.136230
2019-06-21,0.127930
2019-06-24,0.144043
2019-06-25,0.140625
2019-06-26,0.141357
2019-06-27,0.141602
2019-06-28,0.146973
2019-07-01,0.145996
2019-07-02,0.152832
2019-07-03,0.156250
2019-07-05,0.150879
2019-07-08,0.149902
2019-07-09,0.149658
2019-07-10,0.144775
2019-07-11,0.149170
2019-07-12,0.153809
2019-07-15,0.152100
2019-07-16,0.145264
2019-07-17,0.146973
2019-07-18,0.149170
2019-07-19,0.150879
2019-07-22,0.150146
2019-07-23,0.140381
2019-07-24,0.144287
2019-07-25,0.150879
2019-07-26,0.147217
2019-07-29,0.149414
2019-07-30,0.141357
2019-07-31,0.145020
2019-08-01,0.149902
2019-08-02,0.152100
2019-08-05,0.153564
2019-08-06,0.150879
2019-08-07,0.154297
2019-08-08,0.149902
2019-08-09,0.155518
2019-08-12,0.147461
2019-08-13,0.140625
2019-08-14,0.143799
2019-08-15,0.152344
2019-08-16,0.160889
2019-08-19,0.152588
2019-08-20,0.149658
2019-08-21,0.150635
2019-08-22,0.150635
2019-08-23,0.151367
2019-08-26,0.142334
2019-08-27,0.142822
2019-08-28,0.145996
2019-08-29,0.147705
2019-08-30,0.147705
2019-09-04,0.136963
2019-09-05,0.140137
2019-09-06,0.140137
2019-09-09,0.135986
2019-09-10,0.132324
2019-09-11,0.134766
2019-09-12,0.142578
2019-09-13,0.142578
2019-09-16,0.135254
2019-09-17,0.129395
2019-09-18,0.134033
2019-09-19,0.134277
2019-09-20,0.146973
2019-09-23,0.149658
2019-09-24,0.146729
2019-09-25,0.142822
2019-09-26,0.149658
2019-09-27,0.149414
2019-09-30,0.145752
2019-10-01,0.150146
2019-10-02,0.152100
2019-10-03,0.156006
2019-10-04,0.156982
2019-10-07,0.155029
2019-10-08,0.151855
2019-10-09,0.155029
2019-10-10,0.156006
2019-10-11,0.155029
2019-10-14,0.148926
2019-10-15,0.146729
2019-10-16,0.146973
2019-10-17,0.155518
2019-10-18,0.152832
2019-10-21,0.155518
2019-10-22,0.153809
2019-10-23,0.150391
2019-10-24,0.155029
2019-10-25,0.156494
2019-10-28,0.156738
2019-10-29,0.153564
2019-10-30,0.151367
2019-10-31,0.153076
2019-11-01,0.153809
2019-11-04,0.152588
2019-11-05,0.146973
2019-11-06,0.148438
2019-11-07,0.149170
2019-11-08,0.152100
2019-11-11,0.145264
2019-11-12,0.136719
2019-11-13,0.139404
2019-11-14,0.141113
2019-11-15,0.138916
2019-11-18,0.135742
2019-11-19,0.143555
2019-11-20,0.149170
2019-11-21,0.156494
2019-11-22,0.154053
2019-11-25,0.155273
2019-11-26,0.147705
2019-11-27,0.152344
2019-11-29,0.156250
2019-12-02,0.156738
2019-12-03,0.151367
2019-12-04,0.150879
2019-12-05,0.153320
2019-12-06,0.156006
2019-12-09,0.147461
2019-12-10,0.151855
2019-12-11,0.152832
2019-12-12,0.157471
2019-12-13,0.164062
2019-12-16,0.159668
2019-12-17,0.153076
2019-12-18,0.156738
2019-12-19,0.166504
2019-12-20,0.163086
2019-12-23,0.164551
2019-12-24,0.156006
2019-12-26,0.161133
2019-12-27,0.159668
2019-12-30,0.159912
2019-12-31,0.155762
2020-01-02,0.169922
2020-01-03,0.165283
2020-01-06,0.164795
2020-01-07,0.157471
2020-01-08,0.165527
2020-01-09,0.166504
2020-01-10,0.170166
2020-01-13,0.156738
2020-01-14,0.158447
2020-01-15,0.156250
2020-01-16,0.166992
2020-01-17,0.163818
